"ID","MonthlyIncome"
871,5684.04495217261
872,2324.61677556971
873,14268.5532938381
874,2126.58580913191
875,2113.84520566534
876,7201.38087168679
877,5917.02806846102
878,1992.62102511026
879,2214.75828717718
880,15030.9906492963
881,11170.57929258
882,2349.13387303854
883,6150.00281069441
884,5946.36075679895
885,6520.69332034539
886,5995.40619935921
887,6393.0130127929
888,6154.19828615921
889,6026.99988475463
890,2193.01888976033
891,5813.30064532098
892,9782.50420108652
893,9621.97006264375
894,5940.44662436887
895,11041.5034649746
896,9810.14975774152
897,10208.9734624349
898,13986.0884773652
899,5979.44293477555
900,2346.9365815452
901,2465.35724619939
902,6406.24226827621
903,6604.75213030474
904,2614.20707692057
905,14936.7463930738
906,5822.25295783903
907,10612.7675905644
908,6056.44451068163
909,1982.85796939346
910,2131.51018717868
911,18169.7025271521
912,2347.47826671441
913,2300.30531970438
914,9966.55322880625
915,6152.82086247532
916,5906.27835335199
917,2092.11864432042
918,5909.91883112064
919,2067.61906626343
920,2878.24391391967
921,2231.50398921664
922,2198.19673708209
923,6398.26117864975
924,6135.45920098419
925,15175.123093871
926,2218.10070091759
927,5996.87506014424
928,10155.4180436596
929,2162.7675815301
930,2300.82658677176
931,6164.59241278483
932,9745.74135896617
933,9600.44177980436
934,2283.07921366485
935,2057.08468771969
936,2266.87139829026
937,10440.4358694106
938,10373.7830247453
939,6872.77272440262
940,2122.14669339576
941,2839.89131850674
942,9916.91195933372
943,10774.9234573513
944,5857.24370005403
945,2025.06425274695
946,5910.96949045446
947,2251.31733298724
948,2179.80243157786
949,2199.50886286399
950,6120.97306862031
951,2542.45438458514
952,5838.21401060714
953,6117.91017569814
954,2246.34195960265
955,6190.34963296423
956,9945.36491961708
957,11900.313940023
958,2361.89203023955
959,10967.2521224035
960,18726.3318781352
961,2073.2300519962
962,5864.17456527945
963,6573.91646169191
964,6275.48213767075
965,2047.44846987654
966,18408.7166828526
967,2112.82771760328
968,9907.11152918183
969,15399.4930585786
970,2183.19084439803
971,5887.60620135202
972,6029.18497339315
973,2221.78523181107
974,2068.14204615109
975,5942.95635986538
976,2246.66010555523
977,6999.11255438452
978,2170.06574807924
979,9738.80756277782
980,18496.8328044953
981,2086.05978152678
982,10361.7052066175
983,2401.04395155588
984,2192.8861886095
985,6051.12391098833
986,2512.8696852328
987,2079.65795952858
988,5815.38607634263
989,10462.447036231
990,2082.81979029023
991,6491.69850654498
992,2126.58610181369
993,6099.75242906274
994,5864.40030488585
995,5849.70661904536
996,6143.83729961744
997,2225.89351285853
998,14780.703658601
999,9779.8224312539
1000,1909.3867731978
1001,6845.66482027499
1002,6017.19577942356
1003,5969.17628847758
1004,7171.06582607067
1005,2412.41696718978
1006,6323.07429899735
1007,2041.58751033717
1008,6229.60608252071
1009,18308.7713816945
1010,6315.40639484361
1011,10566.0685488077
1012,6511.44033559139
1013,6026.19869564146
1014,6273.8072604189
1015,6053.3382647503
1016,2441.12143893966
1017,2381.68844916161
1018,9559.59132378476
1019,9908.97015389205
1020,2051.51392214451
1021,5897.32461429899
1022,6042.85701659388
1023,6110.93453544912
1024,10763.9574287759
1025,14292.4411370393
1026,18155.6162256318
1027,6244.94617198541
1028,5904.01876221143
1029,5892.98159553925
1030,10857.4157876834
1031,5883.47702402015
1032,2368.40067428313
1033,9738.01287075571
1034,2089.35172334516
1035,5950.71715086114
1036,2037.45571171921
1037,5892.80734992505
1038,10238.118660471
1039,10043.1149797048
1040,6125.6522374827
1041,2276.70944346741
1042,2346.89164208636
1043,9741.00291077877
1044,6438.05170870358
1045,2257.15243218178
1046,2091.49368057394
1047,6055.68858444648
1048,9727.50633513644
1049,2171.58356494362
1050,6080.59647003487
1051,11043.3089983312
1052,2500.65615357143
1053,6145.01252476453
1054,2386.50753390926
1055,2378.09547080238
1056,2392.34324430523
1057,6219.90845689669
1058,14067.2739239948
1059,6942.11620566122
1060,2291.56189868458
1061,6243.83015072688
1062,5942.81858485504
1063,6344.32660076833
1064,1991.2010809207
1065,6266.05584869582
1066,2414.39990292034
1067,3297.16674792319
1068,18569.6652393531
1069,5810.1625699537
1070,2129.15678489439
1071,2444.18409252682
1072,6185.69386340984
1073,2137.9414763031
1074,6259.52649623738
1075,5889.63511038926
1076,14265.3104432863
1077,18069.0014716297
1078,6020.4025871736
1079,6099.45861650411
1080,6981.27953548251
1081,2508.09600313674
1082,2109.78067152186
1083,1929.57865663175
1084,6291.50320631018
1085,9695.71162953802
1086,9973.53425017794
1087,5894.95752221637
1088,2229.9617535259
1089,2234.32936077139
1090,5986.16647366339
1091,5945.25808740254
1092,6118.67297698242
1093,9669.2722792274
1094,6071.1146239968
1095,5902.12258511596
1096,5953.86529052899
1097,3207.14430790752
1098,2358.50358812301
1099,2444.49798292953
1100,6081.00790141967
1101,17880.6315250635
1102,6041.07332469123
1103,6313.44427230314
1104,11856.363619159
1105,2294.893191272
1106,2325.80355203031
1107,2257.28643845302
1108,6122.15952973877
1109,5818.51317908323
1110,5806.7874381418
1111,6157.16362536783
1112,10198.2032112884
1113,10191.5282255461
1114,6818.335388314
1115,10525.1844558748
1116,2232.1212545179
1117,6887.96404700007
1118,6018.17588766163
1119,11034.3861379162
1120,2419.42128705807
1121,10748.4848108495
1122,14821.7682404754
1123,6063.32446166908
1124,14147.2574623226
1125,2024.8955599692
1126,2117.23602334898
1127,2260.18618067692
1128,6015.08027136085
1129,14014.0169073946
1130,2335.45600818797
1131,9890.66048880482
1132,14081.6958326573
1133,6198.66949714773
1134,2000.6122678971
1135,2570.08552713866
1136,2337.95492532632
1137,3057.78032017635
1138,6167.28866393469
1139,9994.36506853876
1140,13604.9324985896
1141,6166.91858182121
1142,5956.25479165545
1143,10694.6502523125
1144,5668.37251181709
1145,6296.12825599712
1146,6025.03566523482
1147,5979.2087059635
1148,2180.8161463833
1149,2152.8998007027
1150,5980.97487742969
1151,2089.1052974766
1152,6216.17211132256
1153,6903.32973411227
1154,2047.54407972434
1155,6222.79407947951
1156,14403.7052717843
1157,2171.1512431655
1158,6694.13697520261
